message,dispatch,response_time_minutes,priority,address,emergency_type
sosfirestoresendhelp,firetruck x2,5,3,"200 Pine Rd, San Diego, CA",Fire
sos natural disaster office send help,helicopter x1; rescue unit x2,3,3,"1240 Pine Rd, San Diego, CA",Natural Disaster
"hazard problem at beach, come quick.",hazmat unit x1,13,2,"8791 Oak Blvd, San Diego, CA",Hazard
badstuffatparkaccid3nt,ambulance x2; firetruck x1,7,3,"5205 Sunset Dr, San Diego, CA",Accident
sos natural disaster road send help,rescue unit x2; firetruck x1,5,3,"961 Pine Rd, San Diego, CA",Natural Disaster
sos fire school send help,firetruck x1,4,3,"1436 Cedar Ln, San Diego, CA",Fire
"Not sure what's going on, maybe accident? at beach. Need someone here.",ambulance x2; firetruck x1,4,2,"7342 Ocean View Way, San Diego, CA",Accident
Uh oh. Something bad crime happening at the office.,police unit x1,5,2,"5755 Ocean View Way, San Diego, CA",Crime
sos medical store send help,ambulance x1; rescue unit x1,4,3,"9817 Mission St, San Diego, CA",Medical
bad stuff at beach rescue,rescue unit x1,7,3,"3712 Ocean View Way, San Diego, CA",Rescue
"rescue problem at home, come quick.",rescue unit x1,4,2,"5038 Oak Blvd, San Diego, CA",Rescue
"Not sure what's going on, maybe natural disaster? at office. Need someone here.",helicopter x1; rescue unit x2,7,2,"5475 Maple Ave, San Diego, CA",Natural Disaster
plzm3dicalparkfast,ambulance x1,7,2,"6329 Broadway, San Diego, CA",Medical
sos hazard office send help,hazmat unit x1; firetruck x1,11,3,"1280 Ocean View Way, San Diego, CA",Hazard
natural disaster?? beach. hurry,helicopter x1; rescue unit x2,2,3,"407 Mission St, San Diego, CA",Natural Disaster
???  medical  here,ambulance x1; rescue unit x1,6,2,"6726 Ocean View Way, San Diego, CA",Medical
"Not sure what's going on, maybe crime? at home. Need someone here.",police unit x1,4,2,"5421 Pine Rd, San Diego, CA",Crime
"Not sure what's going on, maybe natural disaster? at road. Need someone here.",helicopter x1; rescue unit x2,2,2,"1543 Ocean View Way, San Diego, CA",Natural Disaster
"natural disaster problem at home, come quick.",helicopter x1; rescue unit x2,3,2,"9748 Ocean View Way, San Diego, CA",Natural Disaster
bad stuff at home rescue,helicopter x1; rescue unit x1,6,3,"5662 Oak Blvd, San Diego, CA",Rescue
crime?? school. hurry,police unit x1,5,3,"8463 Maple Ave, San Diego, CA",Crime
I need help immediately at the road. There's a serious rescue situation.,helicopter x1; rescue unit x1,4,1,"5852 Pine Rd, San Diego, CA",Rescue
"fire problem at home, come quick.",firetruck x2,3,2,"3332 Pine Rd, San Diego, CA",Fire
Uh oh. Something bad rescue happening at the office.,rescue unit x1,8,2,"3002 Mission St, San Diego, CA",Rescue
plz  accident  school  fast,ambulance x2; firetruck x1,4,2,"5279 Pine Rd, San Diego, CA",Accident
"Not sure what's going on, maybe accident? at home. Need someone here.",ambulance x2; firetruck x1,5,2,"5061 Cedar Ln, San Diego, CA",Accident
"Not sure what's going on, maybe rescue? at home. Need someone here.",rescue unit x1,4,2,"5185 Mission St, San Diego, CA",Rescue
"accident problem at home, come quick.",ambulance x2; firetruck x1,5,2,"4803 Maple Ave, San Diego, CA",Accident
I need help immediately at the school. There's a serious hazard situation.,hazmat unit x1; firetruck x1,10,1,"7681 4th Ave, San Diego, CA",Hazard
Uh oh. Something bad rescue happening at the school.,rescue unit x1,5,2,"7468 4th Ave, San Diego, CA",Rescue
bad stuff at office hazard,hazmat unit x1; firetruck x1,9,3,"8314 Pine Rd, San Diego, CA",Hazard
"medical problem at park, come quick.",ambulance x2,5,2,"1481 Broadway, San Diego, CA",Medical
"hazard problem at office, come quick.",hazmat unit x1,14,2,"7272 Mission St, San Diego, CA",Hazard
Uh oh. Something bad rescue happening at the road.,rescue unit x1,5,2,"6062 Sunset Dr, San Diego, CA",Rescue
"Please send assistance to the park. It's a crime emergency, looks severe.",police unit x2,5,1,"9895 Elm St, San Diego, CA",Crime
plznaturaldisast3rb3achfast,helicopter x1; rescue unit x2,3,2,"1648 Broadway, San Diego, CA",Natural Disaster
???hazardh3r3,hazmat unit x1; firetruck x1,9,2,"1435 4th Ave, San Diego, CA",Hazard
"Not sure what's going on, maybe hazard? at office. Need someone here.",hazmat unit x1; firetruck x1,13,2,"6521 Pine Rd, San Diego, CA",Hazard
"rescue problem at beach, come quick.",helicopter x1; rescue unit x1,5,2,"9257 Ocean View Way, San Diego, CA",Rescue
"Not sure what's going on, maybe hazard? at school. Need someone here.",hazmat unit x1,5,2,"8724 Maple Ave, San Diego, CA",Hazard
"Not sure what's going on, maybe hazard? at beach. Need someone here.",hazmat unit x1; firetruck x1,11,2,"398 Sunset Dr, San Diego, CA",Hazard
hlpcrimeoffice,police unit x1,8,2,"3811 Pine Rd, San Diego, CA",Crime
"Not sure what's going on, maybe fire? at home. Need someone here.",firetruck x1,5,2,"8417 Broadway, San Diego, CA",Fire
Uh oh. Something bad natural disaster happening at the beach.,rescue unit x2; firetruck x1,10,2,"5617 4th Ave, San Diego, CA",Natural Disaster
"Not sure what's going on, maybe fire? at road. Need someone here.",firetruck x1,6,2,"2758 Pine Rd, San Diego, CA",Fire
sos natural disaster beach send help,rescue unit x2; firetruck x1,4,3,"7270 Elm St, San Diego, CA",Natural Disaster
Uh oh. Something bad accident happening at the store.,ambulance x1; police unit x1,4,2,"7377 4th Ave, San Diego, CA",Accident
Uh oh. Something bad crime happening at the school.,police unit x2,5,2,"3933 Broadway, San Diego, CA",Crime
"Not sure what's going on, maybe fire? at store. Need someone here.",firetruck x1,6,2,"6126 4th Ave, San Diego, CA",Fire
"Please send assistance to the park. It's a accident emergency, looks severe.",ambulance x2; firetruck x1,4,1,"8339 Broadway, San Diego, CA",Accident
accident?? office. hurry,ambulance x1; police unit x1,4,3,"4196 Elm St, San Diego, CA",Accident
bad stuff at park hazard,hazmat unit x1,10,3,"8552 Maple Ave, San Diego, CA",Hazard
"crime problem at home, come quick.",police unit x2,4,2,"7461 Broadway, San Diego, CA",Crime
"Not sure what's going on, maybe fire? at school. Need someone here.",firetruck x1,8,2,"3737 Mission St, San Diego, CA",Fire
"Not sure what's going on, maybe crime? at home. Need someone here.",police unit x1,9,2,"6595 Broadway, San Diego, CA",Crime
bad stuff at office crime,police unit x1,3,3,"6242 Oak Blvd, San Diego, CA",Crime
hlp  medical  store,ambulance x1,8,2,"2354 Elm St, San Diego, CA",Medical
"Not sure what's going on, maybe crime? at school. Need someone here.",SWAT x1; police unit x2,9,2,"2373 Mission St, San Diego, CA",Crime
"accident problem at road, come quick.",ambulance x1; police unit x1,3,2,"411 Cedar Ln, San Diego, CA",Accident
I need help immediately at the school. There's a serious fire situation.,firetruck x1; ladder truck x1,6,1,"8747 Ocean View Way, San Diego, CA",Fire
"Not sure what's going on, maybe medical? at school. Need someone here.",ambulance x1,7,2,"5034 Maple Ave, San Diego, CA",Medical
"Not sure what's going on, maybe medical? at office. Need someone here.",ambulance x1; rescue unit x1,6,2,"7589 Maple Ave, San Diego, CA",Medical
bad stuff at school medical,ambulance x1; rescue unit x1,6,3,"8882 Elm St, San Diego, CA",Medical
"Emergency! Hazard at my road. Need help ASAP, address included.",hazmat unit x1,12,1,"2452 Cedar Ln, San Diego, CA",Hazard
"Emergency! Accident at my home. Need help ASAP, address included.",ambulance x2; firetruck x1,4,1,"4041 4th Ave, San Diego, CA",Accident
sos accident office send help,ambulance x1; police unit x1,5,3,"8676 Sunset Dr, San Diego, CA",Accident
Uh oh. Something bad medical happening at the road.,ambulance x1; rescue unit x1,8,2,"8416 Broadway, San Diego, CA",Medical
??? medical here,ambulance x2,9,2,"4255 Elm St, San Diego, CA",Medical
"crime problem at school, come quick.",police unit x2,5,2,"4050 Maple Ave, San Diego, CA",Crime
sosnaturaldisast3rroads3ndh3lp,rescue unit x2; firetruck x1,2,3,"5872 Broadway, San Diego, CA",Natural Disaster
Uh oh. Something bad crime happening at the school.,police unit x1,6,2,"7712 Mission St, San Diego, CA",Crime
hazard?? office. hurry,hazmat unit x1,7,3,"4907 Oak Blvd, San Diego, CA",Hazard
medical?? school. hurry,ambulance x1,9,3,"5270 Cedar Ln, San Diego, CA",Medical
sos rescue park send help,helicopter x1; rescue unit x1,2,3,"4250 Elm St, San Diego, CA",Rescue
natural disaster?? beach. hurry,helicopter x1; rescue unit x2,5,3,"5948 Elm St, San Diego, CA",Natural Disaster
???naturaldisast3rh3r3,helicopter x1; rescue unit x2,5,2,"7259 Ocean View Way, San Diego, CA",Natural Disaster
bad stuff at park hazard,hazmat unit x1; firetruck x1,11,3,"3160 Mission St, San Diego, CA",Hazard
"Please send assistance to the park. It's a hazard emergency, looks severe.",hazmat unit x1; firetruck x1,12,1,"1453 Ocean View Way, San Diego, CA",Hazard
sos medical park send help,ambulance x1,3,3,"9037 Cedar Ln, San Diego, CA",Medical
I need help immediately at the home. There's a serious crime situation.,police unit x2,6,1,"4943 Cedar Ln, San Diego, CA",Crime
Uh oh. Something bad accident happening at the road.,ambulance x2; firetruck x1,5,2,"2830 Mission St, San Diego, CA",Accident
"crime problem at park, come quick.",SWAT x1; police unit x2,9,2,"5876 4th Ave, San Diego, CA",Crime
sos accident store send help,ambulance x1; police unit x1,4,3,"1329 Ocean View Way, San Diego, CA",Accident
Uh oh. Something bad crime happening at the road.,SWAT x1; police unit x2,8,2,"2721 Elm St, San Diego, CA",Crime
sos fire school send help,firetruck x1; ladder truck x1,6,3,"7279 Elm St, San Diego, CA",Fire
fire?? home. hurry,firetruck x1; ladder truck x1,9,3,"6101 Sunset Dr, San Diego, CA",Fire
hlp  accid3nt  road,ambulance x2; firetruck x1,8,2,"6177 Sunset Dr, San Diego, CA",Accident
I need help immediately at the school. There's a serious accident situation.,ambulance x1; police unit x1,1,1,"8774 Sunset Dr, San Diego, CA",Accident
sos accident store send help,ambulance x2; firetruck x1,5,3,"4189 Maple Ave, San Diego, CA",Accident
hlpmedicalbeach,ambulance x1; rescue unit x1,4,2,"2029 Cedar Ln, San Diego, CA",Medical
sosnaturaldisast3rstor3s3ndh3lp,helicopter x1; rescue unit x2,9,3,"8147 Oak Blvd, San Diego, CA",Natural Disaster
"medical problem at office, come quick.",ambulance x2,8,2,"2928 Mission St, San Diego, CA",Medical
Uh oh. Something bad medical happening at the school.,ambulance x2,3,2,"5792 Maple Ave, San Diego, CA",Medical
bad stuff at road rescue,helicopter x1; rescue unit x1,6,3,"2680 Pine Rd, San Diego, CA",Rescue
sos natural disast3r stor3 s3nd h3lp,rescue unit x2; firetruck x1,7,3,"2375 Oak Blvd, San Diego, CA",Natural Disaster
natural disaster?? park. hurry,helicopter x1; rescue unit x2,5,3,"9177 4th Ave, San Diego, CA",Natural Disaster
Uh oh. Something bad crime happening at the park.,police unit x1,6,2,"1512 Maple Ave, San Diego, CA",Crime
sos crime park send help,SWAT x1; police unit x2,12,3,"7942 Broadway, San Diego, CA",Crime
bad  stuff  at  school  accid3nt,ambulance x1; police unit x1,7,3,"5294 Maple Ave, San Diego, CA",Accident
Uh oh. Something bad accident happening at the park.,ambulance x2; firetruck x1,5,2,"2202 Broadway, San Diego, CA",Accident
"hazard problem at road, come quick.",hazmat unit x1,7,2,"7188 Broadway, San Diego, CA",Hazard
"natural disaster problem at home, come quick.",rescue unit x2; firetruck x1,5,2,"5082 Pine Rd, San Diego, CA",Natural Disaster
sos fire store send help,firetruck x1,8,3,"5769 Broadway, San Diego, CA",Fire
crime?? school. hurry,police unit x2,3,3,"3316 Broadway, San Diego, CA",Crime
plzcrim3offic3fast,SWAT x1; police unit x2,11,2,"2862 4th Ave, San Diego, CA",Crime
rescue??  office.  hurry,rescue unit x1,9,3,"564 Maple Ave, San Diego, CA",Rescue
plzm3dicalb3achfast,ambulance x1; rescue unit x1,9,2,"6925 4th Ave, San Diego, CA",Medical
"Not sure what's going on, maybe hazard? at home. Need someone here.",hazmat unit x1; firetruck x1,9,2,"5049 Mission St, San Diego, CA",Hazard
sos fire school send help,firetruck x2,6,3,"4973 Mission St, San Diego, CA",Fire
"medical problem at beach, come quick.",ambulance x1,8,2,"7302 Ocean View Way, San Diego, CA",Medical
"accident problem at park, come quick.",ambulance x2; firetruck x1,6,2,"2453 Sunset Dr, San Diego, CA",Accident
bad stuff at beach natural disaster,helicopter x1; rescue unit x2,5,3,"6632 Pine Rd, San Diego, CA",Natural Disaster
Uh oh. Something bad natural disaster happening at the store.,rescue unit x2; firetruck x1,2,2,"5328 Oak Blvd, San Diego, CA",Natural Disaster
badstuffathom3accid3nt,ambulance x1; police unit x1,7,3,"1686 Elm St, San Diego, CA",Accident
Uh oh. Something bad crime happening at the park.,police unit x2,5,2,"4167 Pine Rd, San Diego, CA",Crime
Uh oh. Something bad natural disaster happening at the store.,helicopter x1; rescue unit x2,6,2,"3210 Pine Rd, San Diego, CA",Natural Disaster
bad stuff at road accident,ambulance x2; firetruck x1,4,3,"5155 Mission St, San Diego, CA",Accident
"Not sure what's going on, maybe medical? at home. Need someone here.",ambulance x1; rescue unit x1,4,2,"7591 Oak Blvd, San Diego, CA",Medical
"Not sure what's going on, maybe fire? at road. Need someone here.",firetruck x1,2,2,"928 Cedar Ln, San Diego, CA",Fire
"Emergency! Accident at my road. Need help ASAP, address included.",ambulance x2; firetruck x1,6,1,"4781 Broadway, San Diego, CA",Accident
"medical problem at school, come quick.",ambulance x2,7,2,"2294 Cedar Ln, San Diego, CA",Medical
"Please send assistance to the store. It's a hazard emergency, looks severe.",hazmat unit x1; firetruck x1,12,1,"841 Ocean View Way, San Diego, CA",Hazard
plz medical road fast,ambulance x1; rescue unit x1,3,2,"4828 Maple Ave, San Diego, CA",Medical
bad stuff at road accident,ambulance x2; firetruck x1,6,3,"2046 Pine Rd, San Diego, CA",Accident
"Not sure what's going on, maybe medical? at park. Need someone here.",ambulance x2,4,2,"9239 Sunset Dr, San Diego, CA",Medical
"natural disaster problem at office, come quick.",helicopter x1; rescue unit x2,4,2,"8293 Elm St, San Diego, CA",Natural Disaster
medical?? home. hurry,ambulance x1; rescue unit x1,3,3,"5556 Mission St, San Diego, CA",Medical
rescue?? park. hurry,rescue unit x1,3,3,"5473 4th Ave, San Diego, CA",Rescue
bad stuff at office crime,SWAT x1; police unit x2,12,3,"5002 4th Ave, San Diego, CA",Crime
sos crime road send help,SWAT x1; police unit x2,15,3,"8125 4th Ave, San Diego, CA",Crime
"crime problem at park, come quick.",police unit x2,6,2,"5527 Maple Ave, San Diego, CA",Crime
bad stuff at road accident,ambulance x1; police unit x1,7,3,"9879 Mission St, San Diego, CA",Accident
sos crime beach send help,SWAT x1; police unit x2,10,3,"3828 Elm St, San Diego, CA",Crime
I need help immediately at the park. There's a serious rescue situation.,helicopter x1; rescue unit x1,5,1,"2521 Oak Blvd, San Diego, CA",Rescue
"Emergency! Medical at my road. Need help ASAP, address included.",ambulance x1,4,1,"3225 Elm St, San Diego, CA",Medical
"Not sure what's going on, maybe accident? at store. Need someone here.",ambulance x1; police unit x1,9,2,"6865 Oak Blvd, San Diego, CA",Accident
sos accident road send help,ambulance x2; firetruck x1,9,3,"1120 Pine Rd, San Diego, CA",Accident
Uh oh. Something bad rescue happening at the office.,helicopter x1; rescue unit x1,4,2,"7937 Broadway, San Diego, CA",Rescue
"accident problem at store, come quick.",ambulance x2; firetruck x1,7,2,"8834 Sunset Dr, San Diego, CA",Accident
Uh oh. Something bad rescue happening at the store.,helicopter x1; rescue unit x1,2,2,"8032 Oak Blvd, San Diego, CA",Rescue
sos fire store send help,firetruck x2,5,3,"3784 Cedar Ln, San Diego, CA",Fire
Uh oh. Something bad natural disaster happening at the store.,rescue unit x2; firetruck x1,7,2,"8111 Sunset Dr, San Diego, CA",Natural Disaster
Uh oh. Something bad accident happening at the store.,ambulance x2; firetruck x1,3,2,"4815 Maple Ave, San Diego, CA",Accident
Uh oh. Something bad rescue happening at the beach.,helicopter x1; rescue unit x1,7,2,"6564 Sunset Dr, San Diego, CA",Rescue
"natural disaster problem at school, come quick.",helicopter x1; rescue unit x2,8,2,"789 Cedar Ln, San Diego, CA",Natural Disaster
"Not sure what's going on, maybe hazard? at home. Need someone here.",hazmat unit x1; firetruck x1,10,2,"4301 Mission St, San Diego, CA",Hazard
Uh oh. Something bad fire happening at the office.,firetruck x2,2,2,"9308 Cedar Ln, San Diego, CA",Fire
Uh oh. Something bad fire happening at the home.,firetruck x1; ladder truck x1,6,2,"9714 Oak Blvd, San Diego, CA",Fire
Uh oh. Something bad fire happening at the home.,firetruck x1; ladder truck x1,3,2,"3797 Oak Blvd, San Diego, CA",Fire
badstuffathomemedical,ambulance x1,8,3,"2352 Elm St, San Diego, CA",Medical
"Not sure what's going on, maybe rescue? at office. Need someone here.",helicopter x1; rescue unit x1,7,2,"7922 Oak Blvd, San Diego, CA",Rescue
"Not sure what's going on, maybe natural disaster? at store. Need someone here.",helicopter x1; rescue unit x2,6,2,"1069 Maple Ave, San Diego, CA",Natural Disaster
"hazard problem at road, come quick.",hazmat unit x1,8,2,"2968 Ocean View Way, San Diego, CA",Hazard
"natural disaster problem at office, come quick.",helicopter x1; rescue unit x2,5,2,"8216 Pine Rd, San Diego, CA",Natural Disaster
bad stuff at school hazard,hazmat unit x1,9,3,"251 Cedar Ln, San Diego, CA",Hazard
"rescue problem at road, come quick.",helicopter x1; rescue unit x1,5,2,"4762 Mission St, San Diego, CA",Rescue
"Emergency! Hazard at my road. Need help ASAP, address included.",hazmat unit x1; firetruck x1,8,1,"2298 Broadway, San Diego, CA",Hazard
"accident problem at store, come quick.",ambulance x1; police unit x1,5,2,"5517 Pine Rd, San Diego, CA",Accident
"Emergency! Hazard at my park. Need help ASAP, address included.",hazmat unit x1; firetruck x1,10,1,"3150 Elm St, San Diego, CA",Hazard
"Please send assistance to the store. It's a hazard emergency, looks severe.",hazmat unit x1,7,1,"2975 4th Ave, San Diego, CA",Hazard
"Not sure what's going on, maybe natural disaster? at beach. Need someone here.",helicopter x1; rescue unit x2,7,2,"8542 Sunset Dr, San Diego, CA",Natural Disaster
Uh oh. Something bad medical happening at the park.,ambulance x1,8,2,"3127 Pine Rd, San Diego, CA",Medical
accident?? store. hurry,ambulance x1; police unit x1,8,3,"4372 Ocean View Way, San Diego, CA",Accident
"Please send assistance to the park. It's a fire emergency, looks severe.",firetruck x2,5,1,"5047 4th Ave, San Diego, CA",Fire
hazard?? road. hurry,hazmat unit x1; firetruck x1,12,3,"5990 Oak Blvd, San Diego, CA",Hazard
I need help immediately at the beach. There's a serious medical situation.,ambulance x2,4,1,"5126 Pine Rd, San Diego, CA",Medical
sos accident beach send help,ambulance x2; firetruck x1,5,3,"2023 Cedar Ln, San Diego, CA",Accident
crim3?? road. hurry,police unit x2,4,3,"2609 Mission St, San Diego, CA",Crime
badstuffatroadhazard,hazmat unit x1,8,3,"4154 4th Ave, San Diego, CA",Hazard
"natural disaster problem at school, come quick.",helicopter x1; rescue unit x2,6,2,"8753 Sunset Dr, San Diego, CA",Natural Disaster
I need help immediately at the road. There's a serious medical situation.,ambulance x1,4,1,"9072 Broadway, San Diego, CA",Medical
Uh oh. Something bad fire happening at the road.,firetruck x1,5,2,"2795 Sunset Dr, San Diego, CA",Fire
"Not sure what's going on, maybe natural disaster? at road. Need someone here.",rescue unit x2; firetruck x1,7,2,"3465 4th Ave, San Diego, CA",Natural Disaster
sosaccid3nthom3s3ndh3lp,ambulance x2; firetruck x1,6,3,"2261 Broadway, San Diego, CA",Accident
Uh oh. Something bad accident happening at the park.,ambulance x1; police unit x1,6,2,"9255 Mission St, San Diego, CA",Accident
"Not sure what's going on, maybe hazard? at school. Need someone here.",hazmat unit x1,14,2,"6587 Cedar Ln, San Diego, CA",Hazard
sos natural disaster home send help,rescue unit x2; firetruck x1,4,3,"9575 Maple Ave, San Diego, CA",Natural Disaster
bad stuff at park medical,ambulance x1; rescue unit x1,4,3,"1144 Broadway, San Diego, CA",Medical
bad stuff at home medical,ambulance x1,8,3,"4803 Ocean View Way, San Diego, CA",Medical
I need help immediately at the school. There's a serious fire situation.,firetruck x1; ladder truck x1,4,1,"6987 Sunset Dr, San Diego, CA",Fire
bad stuff at park accident,ambulance x2; firetruck x1,6,3,"1414 Broadway, San Diego, CA",Accident
bad stuff at beach fire,firetruck x1,7,3,"3024 Broadway, San Diego, CA",Fire
"accident problem at road, come quick.",ambulance x1; police unit x1,2,2,"156 Elm St, San Diego, CA",Accident
"Emergency! Crime at my park. Need help ASAP, address included.",SWAT x1; police unit x2,13,1,"9020 Ocean View Way, San Diego, CA",Crime
rescue?? park. hurry,rescue unit x1,5,3,"7646 Sunset Dr, San Diego, CA",Rescue
"fire problem at store, come quick.",firetruck x1; ladder truck x1,6,2,"1948 Elm St, San Diego, CA",Fire
"Not sure what's going on, maybe natural disaster? at beach. Need someone here.",rescue unit x2; firetruck x1,10,2,"4043 Oak Blvd, San Diego, CA",Natural Disaster
Uh oh. Something bad medical happening at the home.,ambulance x1,4,2,"7414 4th Ave, San Diego, CA",Medical
hazard?? b3ach. hurry,hazmat unit x1; firetruck x1,8,3,"7291 Oak Blvd, San Diego, CA",Hazard
"rescue problem at office, come quick.",rescue unit x1,9,2,"8355 Cedar Ln, San Diego, CA",Rescue
sos fire school send help,firetruck x1; ladder truck x1,6,3,"5324 4th Ave, San Diego, CA",Fire
Uh oh. Something bad rescue happening at the school.,helicopter x1; rescue unit x1,8,2,"3981 Cedar Ln, San Diego, CA",Rescue
"Emergency! Fire at my beach. Need help ASAP, address included.",firetruck x1,4,1,"6875 Cedar Ln, San Diego, CA",Fire
sos crime home send help,SWAT x1; police unit x2,12,3,"2969 Ocean View Way, San Diego, CA",Crime
"rescue problem at park, come quick.",helicopter x1; rescue unit x1,9,2,"6344 Broadway, San Diego, CA",Rescue
"Not sure what's going on, maybe crime? at beach. Need someone here.",police unit x2,5,2,"2544 Cedar Ln, San Diego, CA",Crime
Uh oh. Something bad accident happening at the office.,ambulance x2; firetruck x1,8,2,"4048 Oak Blvd, San Diego, CA",Accident
Uh oh. Something bad crime happening at the school.,police unit x1,7,2,"7686 Elm St, San Diego, CA",Crime
"Please send assistance to the park. It's a rescue emergency, looks severe.",rescue unit x1,8,1,"6463 Oak Blvd, San Diego, CA",Rescue
"Please send assistance to the office. It's a crime emergency, looks severe.",SWAT x1; police unit x2,11,1,"1395 Mission St, San Diego, CA",Crime
"natural disaster problem at store, come quick.",rescue unit x2; firetruck x1,6,2,"944 Cedar Ln, San Diego, CA",Natural Disaster
"Emergency! Accident at my beach. Need help ASAP, address included.",ambulance x1; police unit x1,4,1,"1292 Oak Blvd, San Diego, CA",Accident
Uh oh. Something bad natural disaster happening at the school.,rescue unit x2; firetruck x1,5,2,"7954 Oak Blvd, San Diego, CA",Natural Disaster
"Not sure what's going on, maybe natural disaster? at store. Need someone here.",rescue unit x2; firetruck x1,8,2,"3570 Oak Blvd, San Diego, CA",Natural Disaster
Uh oh. Something bad hazard happening at the home.,hazmat unit x1; firetruck x1,10,2,"4074 4th Ave, San Diego, CA",Hazard
bad stuff at office hazard,hazmat unit x1; firetruck x1,11,3,"6336 Mission St, San Diego, CA",Hazard
"Not sure what's going on, maybe rescue? at beach. Need someone here.",helicopter x1; rescue unit x1,10,2,"4385 Sunset Dr, San Diego, CA",Rescue
bad stuff at park rescue,rescue unit x1,6,3,"7792 Sunset Dr, San Diego, CA",Rescue
"Not sure what's going on, maybe fire? at store. Need someone here.",firetruck x2,9,2,"849 4th Ave, San Diego, CA",Fire
Uh oh. Something bad natural disaster happening at the office.,rescue unit x2; firetruck x1,6,2,"365 Cedar Ln, San Diego, CA",Natural Disaster
Uh oh. Something bad rescue happening at the road.,helicopter x1; rescue unit x1,6,2,"4936 Pine Rd, San Diego, CA",Rescue
fire?? store. hurry,firetruck x2,6,3,"9435 Oak Blvd, San Diego, CA",Fire
"Emergency! Accident at my road. Need help ASAP, address included.",ambulance x2; firetruck x1,3,1,"4316 Mission St, San Diego, CA",Accident
Uh oh. Something bad hazard happening at the beach.,hazmat unit x1; firetruck x1,8,2,"7650 Pine Rd, San Diego, CA",Hazard
"Please send assistance to the school. It's a hazard emergency, looks severe.",hazmat unit x1,6,1,"2393 Broadway, San Diego, CA",Hazard
sos accident office send help,ambulance x1; police unit x1,6,3,"8684 Elm St, San Diego, CA",Accident
I need help immediately at the school. There's a serious natural disaster situation.,rescue unit x2; firetruck x1,5,1,"204 Ocean View Way, San Diego, CA",Natural Disaster
sos fire school send help,firetruck x1,9,3,"1213 Pine Rd, San Diego, CA",Fire
plzmedicalofficefast,ambulance x1,1,2,"8016 Mission St, San Diego, CA",Medical
Uh oh. Something bad medical happening at the home.,ambulance x1; rescue unit x1,4,2,"6839 Elm St, San Diego, CA",Medical
sosmedicalroadsendhelp,ambulance x1,7,3,"8328 Ocean View Way, San Diego, CA",Medical
"natural disaster problem at office, come quick.",rescue unit x2; firetruck x1,4,2,"8691 Pine Rd, San Diego, CA",Natural Disaster
sos  fire  office  send  help,firetruck x2,7,3,"4479 Ocean View Way, San Diego, CA",Fire
"Not sure what's going on, maybe medical? at store. Need someone here.",ambulance x2,5,2,"9356 Oak Blvd, San Diego, CA",Medical
"Please send assistance to the office. It's a hazard emergency, looks severe.",hazmat unit x1,7,1,"619 Maple Ave, San Diego, CA",Hazard
???  accident  here,ambulance x1; police unit x1,4,2,"254 Pine Rd, San Diego, CA",Accident
"Not sure what's going on, maybe medical? at park. Need someone here.",ambulance x1; rescue unit x1,6,2,"5527 4th Ave, San Diego, CA",Medical
sos natural disaster home send help,rescue unit x2; firetruck x1,6,3,"3864 Oak Blvd, San Diego, CA",Natural Disaster
sosnaturaldisasterbeachsendhelp,rescue unit x2; firetruck x1,8,3,"1318 Cedar Ln, San Diego, CA",Natural Disaster
Uh oh. Something bad rescue happening at the road.,rescue unit x1,8,2,"3038 Sunset Dr, San Diego, CA",Rescue
Uh oh. Something bad medical happening at the office.,ambulance x1,6,2,"6625 Maple Ave, San Diego, CA",Medical
Uh oh. Something bad crime happening at the office.,police unit x1,6,2,"9384 Ocean View Way, San Diego, CA",Crime
"Not sure what's going on, maybe hazard? at road. Need someone here.",hazmat unit x1; firetruck x1,12,2,"2392 Maple Ave, San Diego, CA",Hazard
"Not sure what's going on, maybe rescue? at beach. Need someone here.",rescue unit x1,7,2,"1700 Ocean View Way, San Diego, CA",Rescue
"fire problem at school, come quick.",firetruck x2,8,2,"9858 Ocean View Way, San Diego, CA",Fire
natural disaster?? store. hurry,helicopter x1; rescue unit x2,9,3,"7481 Mission St, San Diego, CA",Natural Disaster
Uh oh. Something bad fire happening at the store.,firetruck x2,3,2,"7175 Pine Rd, San Diego, CA",Fire
Uh oh. Something bad hazard happening at the road.,hazmat unit x1; firetruck x1,8,2,"1504 4th Ave, San Diego, CA",Hazard
"crime problem at school, come quick.",SWAT x1; police unit x2,8,2,"1304 Maple Ave, San Diego, CA",Crime
bad stuff at office crime,SWAT x1; police unit x2,6,3,"2627 Ocean View Way, San Diego, CA",Crime
crime?? store. hurry,police unit x1,1,3,"185 Cedar Ln, San Diego, CA",Crime
??? accid3nt h3r3,ambulance x1; police unit x1,7,2,"3170 Ocean View Way, San Diego, CA",Accident
Uh oh. Something bad accident happening at the road.,ambulance x2; firetruck x1,6,2,"1792 Elm St, San Diego, CA",Accident
sos medical store send help,ambulance x1,5,3,"9880 4th Ave, San Diego, CA",Medical
"Not sure what's going on, maybe natural disaster? at store. Need someone here.",rescue unit x2; firetruck x1,3,2,"4881 Ocean View Way, San Diego, CA",Natural Disaster
I need help immediately at the school. There's a serious accident situation.,ambulance x1; police unit x1,7,1,"9470 Broadway, San Diego, CA",Accident
bad stuff at beach fire,firetruck x1,6,3,"2374 Cedar Ln, San Diego, CA",Fire
